MST_DEG,MST_Fn,DMST_DEG,DMST_Fn,Actuator Cylinder_DEG,Actuator Cylinder_Fn,U2DiVA_DEG,U2DiVA_Fn,Cactus_DEG,Cactus_Fn,ARDEMA2D_DEG,ARDEMA2D_Fn,Qblade_DEG,Qblade_Fn
330.7867598,-0.243126958,352.4448326,0.226170076,279.5004436,-0.171148885,,,,,336.3312264,-0.270478625,,
333.3857285,-0.20569836,354.1774784,0.275115165,284.3518519,-0.178346692,,,,,341.0093701,-0.290632486,,
335.8114327,-0.168269762,355.9101242,0.31974157,290.4161122,-0.189863184,,,,,343.6083389,-0.266159941,,
337.8906077,-0.127962042,356.9497117,0.364367975,294.5744622,-0.210017044,,,,,346.034043,-0.217214852,,
339.7965181,-0.091973005,358.6823575,0.400357011,298.0397538,-0.22585222,,,,,351.7517742,-0.182665377,,
341.5291639,-0.053104846,,,301.1585163,-0.237368712,,,,,356.6031825,-0.139478533,,
343.2618097,-0.011357564,,,305.6633954,-0.26472038,,,,,358.6823575,-0.110687304,,
345.3409847,0.028950157,,,309.6484808,-0.28487424,,,,,,,,
346.9003659,0.067818316,,,314.3266245,-0.307907223,,,,,,,,
348.113218,0.108126036,,,320.3908849,-0.330940206,,,,,,,,
349.6725992,0.146994196,,,326.8016744,-0.348214944,,,,,,,,
351.7517742,0.188741478,,,333.5589931,-0.346775382,,,,,,,,
352.6180971,0.231928321,,,339.1034597,-0.332379768,,,,,,,,
354.5240075,0.272236042,,,344.3013972,-0.290632486,,,,,,,,
355.9101242,0.312543763,,,346.2073076,-0.254643449,,,,,,,,
357.1229763,0.344214115,,,348.8062763,-0.21577529,,,,,,,,
358.5090929,0.384521835,,,351.2319805,-0.176907131,,,,,,,,
,,,,352.271568,-0.133720287,,,,,,,,
,,,,354.1774784,-0.084775198,,,,,,,,
,,,,355.563595,-0.045907039,,,,,,,,
,,,,356.6031825,0.000158928,,,,,,,,
,,,,358.6823575,0.039027087,,,,,,,,
