MST_DEG,MST_y,DMST_DEG,DMST_y,Actuator Cylinder_DEG,Actuator Cylinder_y,U2DiVA_DEG,U2DiVA_y,Cactus_DEG,Cactus_y,ARDEMA2D_DEG,ARDEMA2D_y,Qblade_DEG,Qblade_y
124.1029152,0.120101738,162.330294,0.043298468,92.9328986,0.241756528,100.8724311,0.232825916,319.3566038,0.029406404,60.43962662,0.143321331,165,0.002909927
127.7786247,0.116132576,166.3000602,0.030398694,95.72643782,0.240764238,103.6659703,0.231238251,334.9416121,0.027024907,62.64505232,0.150862737,170,-0.00269851
132.4835328,0.110774209,171.0049684,0.01749892,99.10809056,0.236795077,106.0184244,0.227467548,348.0271379,0.017895837,64.40939288,0.16177793,175,-0.004259937
137.0414126,0.105018925,175.5628482,0.006980643,101.1664879,0.23342129,109.1060204,0.223101471,359.3483232,0.003606856,67.05590372,0.171303917,180,-0.001212853
139.8349518,0.100652848,182.1791253,-0.002743802,103.518942,0.228062922,112.3406448,0.216949271,,,68.52618752,0.179440698,185,0.006017387
142.628491,0.095492938,186.737005,-0.00492684,106.9005947,0.221910722,115.5752691,0.20881249,,,71.6137835,0.188768226,190,0.009312033
145.5690586,0.088745364,191.4419132,-0.004331466,109.2530488,0.213377026,117.4866381,0.202858749,,,73.8192092,0.198294213,195,0.012866963
147.9215127,0.080608584,198.2052187,3.46E-05,111.3114461,0.206430994,119.398007,0.195317342,,,76.17166328,0.205438703,200,0.026795604
150.1269384,0.076044048,202.7630985,0.003011482,112.9287583,0.200080336,122.3385746,0.186783646,,,78.67114574,0.215361606,205,0.033719494
151.5972222,0.070090306,208.3501769,0.006385269,114.6930988,0.193729678,124.6910287,0.179043781,,,81.31765658,0.222704555,210,0.027356225
154.5377898,0.062945816,215.4075391,0.010552888,117.0455529,0.185592897,126.749426,0.172693124,,,85.28742284,0.231039793,215,0.04100962
157.331329,0.057190532,222.1708446,0.012934385,119.5450354,0.179837614,128.9548517,0.163564053,,,88.96313234,0.236596619,220,0.041938393
159.242698,0.050839875,227.7579231,0.013728217,121.0153192,0.172693124,130.5721639,0.158205685,,,92.1977567,0.241359612,225,0.04887674
161.7421804,0.044687675,233.6390583,0.014522049,122.6326314,0.166540924,133.0716463,0.147885866,,,96.75563648,0.243344193,230,0.037530651
163.6535494,0.038535475,238.196938,0.014323591,124.3969719,0.158007227,135.1300437,0.135779924,,,101.4605446,0.242153445,235,0.049469761
165.5649183,0.033375565,242.4607611,0.013529759,125.7202273,0.151656569,137.0414126,0.126253937,,,105.871396,0.237390451,240,0.04445146
167.0352021,0.027223365,249.2240665,0.012934385,127.1905111,0.145305911,138.9527815,0.117124867,,,108.5179069,0.232429,245,0.049148724
168.7995427,0.02166654,250.9884071,0.012735927,128.6607949,0.137566047,140.8641505,0.10958346,,,111.7525312,0.226673716,250,0.048361866
170.85794,0.015911256,256.2814288,0.012339011,129.9840504,0.129230808,143.5106613,0.099263641,,,114.2520137,0.220323058,255,0.047043997
172.6222806,0.012339011,260.6922802,0.012140553,131.7483909,0.121689402,145.716087,0.090333029,,,117.0455529,0.211789361,260,0.050580626
175.2687914,0.006385269,265.6912451,0.011545179,133.0716463,0.114544912,147.9215127,0.080013209,,,119.398007,0.204644871,265,0.047794039
177.033132,0.001820734,269.2199262,0.011346721,134.100845,0.108194254,149.5388249,0.070884139,,,121.0153192,0.197301923,270,0.051292015
180.7088415,-0.00194997,272.4545506,0.011346721,136.3062707,0.101248222,152.3323641,0.061358152,,,123.0737165,0.189760517,275,0.048706371
184.384551,-0.00492684,277.0124304,0.011545179,138.0706113,0.093706816,154.978875,0.050442958,,,125.1321138,0.182616027,280,0.05359439
189.3835159,-0.005323757,279.8059696,0.011743637,139.6879234,0.085173119,157.1843007,0.041512346,,,127.0434828,0.174479246,285,0.052006307
192.912197,-0.002148428,283.7757358,0.011942095,141.1582072,0.077830171,158.6545845,0.036153978,,,129.1018801,0.169716253,290,0.053368871
196.2938497,0.001026901,287.8925305,0.012735927,142.7755194,0.071082597,160.5659534,0.029207946,,,130.1310787,0.16177793,295,0.050402837
199.5284741,0.005392979,291.8622967,0.013132843,143.9517465,0.064930397,162.7713791,0.019880417,,,132.0424477,0.153442692,300,0.051559841
203.2041836,0.01035443,293.3325805,0.013331301,145.716087,0.057984365,166.594117,0.010949804,,,133.5127315,0.14748895,305,0.058583542
206.2917796,0.01551434,299.6548009,0.014522049,148.3625979,0.0502445,169.5346846,0.003606856,,,134.8359869,0.14133675,310,0.0473962
210.1145175,0.020078875,304.2126807,0.014522049,149.8328817,0.0440923,171.4460535,-0.001751511,,,136.4532991,0.135581466,315,0.047703946
213.6431986,0.024643411,307.7413618,0.014323591,151.0091087,0.038138559,175.8569049,-0.007903711,,,137.6295261,0.127444686,320,0.058435654
216.5837662,0.02881103,311.711128,0.014323591,152.6264209,0.034566314,178.7974725,-0.010682124,,,138.9527815,0.121490944,325,0.039187725
221.2886743,0.03496323,315.6808943,0.013728217,154.0967047,0.029406404,180.5618131,-0.011475956,,,140.5700937,0.115537202,330,0.045988797
226.581696,0.038337017,319.7976889,0.012735927,156.3021304,0.023254204,182.3261536,-0.011475956,,,142.4814627,0.107400422,335,0.042104873
231.1395758,0.042306178,323.3263701,0.010949804,158.0664709,0.01650663,183.5023807,-0.014651285,,,144.0987748,0.10045439,340,0.026351491
235.2563704,0.044886133,327.7372215,0.00836985,160.8600102,0.010751346,184.5315793,-0.017429698,,,145.4220303,0.094103732,345,0.031621939
240.4023637,0.047863004,333.3242999,0.004797605,163.2124642,0.006385269,187.1780902,-0.005125298,,,146.5982573,0.08914228,350,0.018717365
245.2543003,0.049450668,337.2940662,0.001820734,164.9768048,0.002813024,189.3835159,-0.004133008,,,148.2155695,0.081203958,355,0.014199795
250.4002936,0.051633707,341.2638324,-0.000759221,166.8881737,-0.000362305,192.7651686,-0.004529924,,,150.8620803,0.070884139,360,0.006182253
256.1344004,0.053022913,344.0573717,-0.00294226,168.0644008,-0.001553053,195.999793,-0.001751511,,,153.067506,0.060365861,,
260.251195,0.053618287,347.8801095,-0.004133008,170.4168549,-0.002545344,199.5284741,0.003011482,,,155.5669885,0.050839875,,
266.8674721,0.054809036,351.8498758,-0.00492684,173.2103941,-0.002743802,202.6160701,0.005392979,,,158.0664709,0.043298468,,
270.5431816,0.054809036,355.8196421,-0.003339176,175.8569049,-0.001751511,205.8506944,0.006782185,,,159.6837831,0.036153978,,
276.1302601,0.054213662,358.6131813,-0.001553053,178.5034158,-0.000362305,209.8204607,0.009759056,,,162.6243507,0.027620281,,
281.8643669,0.053419829,359.4953516,-0.000163847,180.8558698,0.001225359,212.3199432,0.012339011,,,165.2708616,0.020078875,,
286.8633318,0.052427539,,,183.0612955,0.004599146,214.3783405,0.015712798,,,167.3292589,0.012735927,,
291.8622967,0.0502445,,,184.5315793,0.007179101,216.5837662,0.016308172,,,170.5638832,0.006583727,,
296.8612617,0.04825992,,,187.9132321,0.011942095,220.8475892,0.016903546,,,172.9163373,0.00320994,,
301.7131982,0.045878423,,,189.5305443,0.014720508,223.6411284,0.017895837,,,176.1509617,0.001026901,,
306.271078,0.042901552,,,192.1770551,0.017300462,229.2282069,0.019483501,,,179.6796428,-0.002148428,,
311.1230145,0.039527765,,,195.1176227,0.021071165,232.3158028,0.020872707,,,183.5023807,-0.00294226,,
315.2398092,0.036153978,,,198.0581903,0.024246494,237.1677394,0.021269624,,,185.4137496,-0.000957679,,
319.5036322,0.031390985,,,200.4106444,0.026231075,239.3731651,0.020674249,,,186.0018631,0.004400688,,
323.3263701,0.027223365,,,203.4982404,0.028414114,243.0488746,0.020475791,,,186.5899767,0.008568308,,
327.8842498,0.020872707,,,206.5858363,0.030001778,247.9008111,0.021269624,,,187.9132321,0.009560598,,
330.9718458,0.017300462,,,209.6734323,0.030398694,250.547322,0.022063456,,,190.4127145,0.005789895,,
334.2064702,0.012140553,,,214.0842837,0.03079561,253.6349179,0.022063456,,,193.2062538,0.006385269,,
338.6173216,0.006980643,,,216.7307946,0.03079561,257.6046842,0.022063456,,,196.1468214,0.009560598,,
342.4400595,0.002416108,,,220.9946176,0.029604862,261.5744505,0.022460372,,,197.9111619,0.012537469,,
346.7038825,-0.001156137,,,224.0822136,0.02881103,264.0739329,0.022857288,,,198.6463038,0.014522049,,
350.8206771,-0.003537634,,,228.0519798,0.027421823,266.426387,0.022857288,,,200.1165876,0.017895837,,
355.9666704,-0.003140718,,,230.1103771,0.026231075,269.6610114,0.023254204,,,200.8517295,0.019880417,,
359.6423799,0.001622276,,,234.9623137,0.024643411,272.8956357,0.02365112,,,201.5868714,0.020674249,,
,,,,237.1677394,0.023254204,275.6891749,0.024444952,,,203.9393255,0.018491211,,
,,,,240.2553354,0.02166654,278.6297425,0.024444952,,,205.5566377,0.016109714,,
,,,,243.6369881,0.020277333,281.2762534,0.024246494,,,207.0269215,0.017300462,,
,,,,246.5775557,0.018888127,283.4816791,0.024444952,,,210.5556026,0.02166654,,
,,,,249.6651517,0.017300462,286.7163034,0.024643411,,,212.9080567,0.024444952,,
,,,,251.5765206,0.016308172,289.5098427,0.024246494,,,214.3783405,0.025437243,,
,,,,255.6933153,0.015117424,290.2449846,0.024444952,,,216.5837662,0.026032617,,
,,,,259.3690248,0.013728217,293.4796089,0.026429533,,,221.141646,0.024444952,,
,,,,264.0739329,0.012735927,297.7434319,0.026826449,,,224.8173555,0.025635701,,
,,,,267.4555857,0.012339011,300.8310279,0.026429533,,,227.0227812,0.025834159,,
,,,,272.0134654,0.011942095,303.4775388,0.026032617,,,229.3752352,0.026826449,,
,,,,276.2772885,0.011942095,305.2418793,0.025238785,,,233.1979731,0.028414114,,
,,,,279.3648844,0.011942095,307.0062199,0.024643411,,,235.4033988,0.03079561,,
,,,,282.8935656,0.012537469,308.3294753,0.026627991,,,236.5796259,0.033574023,,
,,,,286.7163034,0.013331301,308.9175888,0.028017198,,,237.3147678,0.03496323,,
,,,,289.5098427,0.014125133,311.1230145,0.028414114,,,239.2261367,0.027223365,,
,,,,292.744467,0.015315882,313.4754686,0.02781874,,,243.3429313,0.028612572,,
,,,,296.1261198,0.016308172,315.8279227,0.026429533,,,248.9300098,0.029009488,,
,,,,300.5369712,0.018094295,317.7392916,0.025635701,,,254.2230315,0.02881103,,
,,,,304.5067374,0.019880417,320.0917457,0.024643411,,,259.5160531,0.02881103,,
,,,,308.0354185,0.021864998,322.7382565,0.025635701,,,263.4858194,0.028612572,,
,,,,310.8289578,0.023849578,324.5025971,0.026826449,,,268.6318127,0.02881103,,
,,,,313.4754686,0.025635701,326.1199093,0.027024907,,,272.7486073,0.029207946,,
,,,,317.2982065,0.027223365,328.1783066,0.024841869,,,275.9832317,0.029406404,,
,,,,320.5328308,0.02781874,330.5307607,0.023452662,,,279.3648844,0.029604862,,
,,,,325.0907106,0.029009488,332.4421296,0.022261914,,,284.8049345,0.030001778,,
,,,,327.7372215,0.029604862,334.5005269,0.020872707,,,288.7747008,0.02881103,,
,,,,331.5599593,0.030398694,337.1470378,0.022460372,,,291.8622967,0.027024907,,
,,,,335.2356688,0.030200236,339.3524635,0.020872707,,,292.4504103,0.026627991,,
,,,,338.9113783,0.02781874,340.6757189,0.019285043,,,294.5088076,0.031589443,,
,,,,341.7049176,0.025040327,343.7633149,0.01650663,,,298.0374887,0.032780191,,
,,,,343.7633149,0.023452662,345.9687406,0.013926675,,,302.007255,0.031986359,,
,,,,346.4098257,0.019086585,347.5860528,0.011743637,,,306.271078,0.030398694,,
,,,,348.7622798,0.01551434,348.4682231,0.010949804,,,308.1824469,0.025635701,,
,,,,350.379592,0.011545179,351.1147339,0.011942095,,,309.2116456,0.021864998,,
,,,,351.8498758,0.00836985,353.467188,0.009163682,,,309.7997591,0.025834159,,
