MST_DEG,MST_Fn,DMST_DEG,DMST_Fn,Actuator Cylinder_DEG,Actuator Cylinder_Fn,U2DiVA_DEG,U2DiVA_Fn,Cactus_DEG,Cactus_Fn,ARDEMA2D_DEG,ARDEMA2D_Fn,Qblade_DEG,Qblade_Fn
151.0441524,5.465110202,219.4796633,-4.647048234,163.6368138,1.304662013,80.30737197,8.252228403,,,154.0219982,2.456980087,165,2.444002
154.0110098,5.138325908,224.4244256,-4.719666966,171.2187828,-1.025188974,84.46074783,8.582625775,,,156.7690884,1.889646243,170,1.23488
156.7800767,4.757077565,229.764769,-4.755976332,175.3394181,-2.038825442,86.80971163,8.813771191,,,159.6535331,1.284490143,175,-0.05492276
159.7469341,4.393983905,234.7095313,-4.6833576,178.9655771,-3.067590812,90.56931333,9.003424913,,,163.0873958,0.565867274,180,-1.404076
162.911582,3.958271513,240.6432461,-4.610738868,184.8992919,-4.353547525,94.32891504,9.157429438,,,166.2465495,-0.140148177,185,-2.586076
165.4828585,3.504404437,246.7747514,-4.50181077,189.0199272,-4.852801308,98.08851675,9.223023958,,,170.0924758,-0.757911696,190,-3.084498
167.4607634,2.996073313,252.7084662,-4.356573306,194.2943404,-5.412570701,101.8481185,9.328545578,,,174.6251746,-1.539571659,195,-3.965138
169.6364588,2.578515604,260.0267145,-4.302109257,197.5908486,-5.609246434,105.6077202,9.342805256,,,176.9602013,-1.035274909,200,-4.847788
171.4165733,2.197267261,269.7184487,-4.175026476,203.6893889,-5.896695581,109.3673219,9.317137835,,,181.6302546,-1.577393915,205,-5.385424
173.3944782,1.743400185,279.4101829,-4.156871793,207.3155479,-5.957211191,113.1269236,9.230153797,,,183.4158632,-2.119512922,210,-5.503312
175.1745927,1.307687793,289.2997076,-4.211335842,211.9306594,-5.972340094,116.8865253,9.079001207,,,184.7894083,-2.699454184,215,-5.257648
176.7569166,0.835666035,297.6069083,-4.229490525,218.1940251,-5.881566679,120.646127,8.877939744,,,187.124435,-3.25418061,220,-5.54914
178.5370311,0.454417692,306.7052711,-4.211335842,224.1277399,-5.715148751,124.4057287,8.605579888,,,189.4594617,-3.884551548,225,-5.745914
180.7127265,-0.126532165,314.0235193,-4.047943695,230.0614547,-5.457957408,127.9944394,8.284024143,,,193.0306789,-4.36363346,230,-5.599064
182.2950504,-0.689327338,320.9461866,-3.884551548,238.1378999,-5.155379358,131.1388336,7.927959976,,,195.5030601,-4.880537629,235,-5.576544
184.2729554,-1.288431877,329.2533874,-3.521457887,243.2474876,-4.958703626,134.1465149,7.591895008,,,199.8984044,-5.233545355,240,-5.148414
186.4486508,-1.724144269,336.7694261,-2.958662714,250.0053295,-4.656125576,136.7098797,7.256614322,,,204.0190397,-4.905752467,245,-5.213114
190.8000417,-2.541105005,342.5053504,-2.359558175,258.4114255,-4.429192038,139.1023535,6.918252527,,,209.238511,-5.48569373,250,-5.06997
