Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:05
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
3.45000e+02,-3.92712e+00,3.45000e+02,-4.31220e+00,
3.50000e+02,-3.27440e+00,3.50000e+02,-3.75509e+00,
3.55000e+02,-2.72183e+00,3.55000e+02,-3.08863e+00,
0.00000e+00,-1.97960e+00,0.00000e+00,-2.49074e+00,
5.00000e+00,-1.18779e+00,5.00000e+00,-1.77125e+00,
1.00000e+01,-3.66901e-01,1.00000e+01,-1.01123e+00,
1.50000e+01,4.86246e-01,1.50000e+01,-2.19051e-01,
2.00000e+01,1.32701e+00,2.00000e+01,5.99355e-01,
2.50000e+01,2.09206e+00,2.50000e+01,1.40427e+00,
3.00000e+01,2.82876e+00,3.00000e+01,2.13037e+00,
3.50000e+01,3.55869e+00,3.50000e+01,2.82967e+00,
4.00000e+01,4.30684e+00,4.00000e+01,3.50943e+00,
4.50000e+01,5.06417e+00,4.50000e+01,4.19850e+00,
5.00000e+01,5.78200e+00,5.00000e+01,4.89241e+00,
5.50000e+01,6.44502e+00,5.50000e+01,5.55174e+00,
6.00000e+01,7.06653e+00,6.00000e+01,6.16127e+00,
6.50000e+01,7.63675e+00,6.50000e+01,6.71498e+00,
7.00000e+01,8.14645e+00,7.00000e+01,7.21330e+00,
7.50000e+01,8.59354e+00,7.50000e+01,7.65141e+00,
8.00000e+01,8.98030e+00,8.00000e+01,8.02608e+00,
8.50000e+01,9.29597e+00,8.50000e+01,8.33114e+00,
9.00000e+01,9.53581e+00,9.00000e+01,8.56032e+00,
9.50000e+01,9.69484e+00,9.50000e+01,8.70805e+00,
1.00000e+02,9.76595e+00,1.00000e+02,8.76915e+00,
1.05000e+02,9.74594e+00,1.05000e+02,8.73680e+00,
1.10000e+02,9.63025e+00,1.10000e+02,8.60981e+00,
1.15000e+02,9.41413e+00,1.15000e+02,8.38172e+00,
1.20000e+02,9.09200e+00,1.20000e+02,8.04851e+00,
1.25000e+02,8.65976e+00,1.25000e+02,7.60652e+00,
1.30000e+02,8.11568e+00,1.30000e+02,7.05231e+00,
1.35000e+02,7.45640e+00,1.35000e+02,6.38717e+00,
1.40000e+02,6.68418e+00,1.40000e+02,5.61364e+00,
1.45000e+02,5.80415e+00,1.45000e+02,4.73460e+00,
1.50000e+02,4.81852e+00,1.50000e+02,3.76134e+00,
1.55000e+02,3.73843e+00,1.55000e+02,2.73966e+00,
1.60000e+02,2.63401e+00,1.60000e+02,1.72413e+00,
1.65000e+02,1.54707e+00,1.65000e+02,6.34840e-01,
1.70000e+02,3.82658e-01,1.70000e+02,-5.72551e-01,
1.75000e+02,-8.67545e-01,1.75000e+02,-1.83681e+00,
