Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:04
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
8.50000e+01,1.50257e+02,
9.00000e+01,1.48338e+02,
9.50000e+01,1.44734e+02,
1.00000e+02,1.37297e+02,
1.05000e+02,1.26774e+02,
1.10000e+02,1.13831e+02,
1.15000e+02,1.03015e+02,
1.20000e+02,9.01919e+01,
1.25000e+02,7.16150e+01,
1.30000e+02,6.16045e+01,
1.35000e+02,4.66304e+01,
1.40000e+02,3.93994e+01,
1.45000e+02,2.94131e+01,
1.50000e+02,2.18835e+01,
1.55000e+02,1.34558e+01,
1.60000e+02,4.19728e+00,
1.65000e+02,-2.80803e+00,
1.70000e+02,-7.68267e+00,
1.75000e+02,-9.73016e+00,
1.80000e+02,-8.31431e+00,
1.85000e+02,-2.47237e+00,
1.90000e+02,4.50367e+00,
1.95000e+02,1.65734e+01,
2.00000e+02,2.48952e+01,
2.05000e+02,3.80595e+01,
2.10000e+02,6.64118e+01,
2.15000e+02,6.96200e+01,
2.20000e+02,1.02371e+02,
2.25000e+02,7.69938e+01,
2.30000e+02,1.03472e+02,
2.35000e+02,9.54911e+01,
2.40000e+02,1.02049e+02,
2.45000e+02,1.00147e+02,
2.50000e+02,9.99894e+01,
2.55000e+02,9.71216e+01,
2.60000e+02,9.10340e+01,
2.65000e+02,8.94608e+01,
2.70000e+02,1.24063e+02,
2.75000e+02,1.15547e+02,
2.80000e+02,1.69039e+02,
2.85000e+02,1.08618e+02,
2.90000e+02,3.97702e+01,
2.95000e+02,4.44406e+01,
3.00000e+02,5.38995e+01,
3.05000e+02,6.72395e+01,
3.10000e+02,5.45235e+01,
3.15000e+02,5.04700e+01,
3.20000e+02,3.12935e+01,
3.25000e+02,3.18802e+01,
3.30000e+02,2.74254e+01,
3.35000e+02,2.23862e+01,
3.40000e+02,9.29605e+00,
3.45000e+02,1.04223e+01,
3.50000e+02,-3.64249e+00,
3.55000e+02,-8.90013e+00,
0.00000e+00,-1.68376e+01,
5.00000e+00,-2.11015e+01,
1.00000e+01,-2.20830e+01,
1.50000e+01,-1.97055e+01,
2.00000e+01,-1.23778e+01,
2.50000e+01,-1.91700e+00,
3.00000e+01,1.11942e+01,
3.50000e+01,2.55313e+01,
4.00000e+01,3.91859e+01,
4.50000e+01,5.21240e+01,
5.00000e+01,6.55022e+01,
5.50000e+01,7.73048e+01,
6.00000e+01,9.80953e+01,
6.50000e+01,1.08550e+02,
7.00000e+01,1.29394e+02,
7.50000e+01,1.38286e+02,
8.00000e+01,1.45123e+02,
8.50000e+01,1.50837e+02,
9.00000e+01,1.44896e+02,
9.50000e+01,1.45984e+02,
1.00000e+02,1.36188e+02,
1.05000e+02,1.27388e+02,
1.10000e+02,1.12984e+02,
1.15000e+02,1.02641e+02,
1.20000e+02,8.91182e+01,
1.25000e+02,7.18167e+01,
1.30000e+02,6.15806e+01,
1.35000e+02,4.69118e+01,
1.40000e+02,3.90239e+01,
1.45000e+02,2.94209e+01,
1.50000e+02,2.16945e+01,
1.55000e+02,1.32052e+01,
1.60000e+02,3.86068e+00,
1.65000e+02,-3.06822e+00,
1.70000e+02,-7.84156e+00,
1.75000e+02,-9.75947e+00,
1.80000e+02,-8.04171e+00,
1.85000e+02,-1.91813e+00,
1.90000e+02,4.62862e+00,
1.95000e+02,1.73621e+01,
2.00000e+02,2.53300e+01,
2.05000e+02,3.54824e+01,
2.10000e+02,4.24185e+01,
2.15000e+02,5.52113e+01,
2.20000e+02,5.73110e+01,
2.25000e+02,6.86552e+01,
2.30000e+02,9.04750e+01,
2.35000e+02,8.69720e+01,
2.40000e+02,1.03759e+02,
2.45000e+02,1.00146e+02,
2.50000e+02,1.04498e+02,
2.55000e+02,1.04235e+02,
2.60000e+02,1.15715e+02,
2.65000e+02,1.16947e+02,
2.70000e+02,1.24474e+02,
2.75000e+02,1.13595e+02,
2.80000e+02,1.29843e+02,
2.85000e+02,1.18861e+02,
2.90000e+02,8.04550e+01,
2.95000e+02,7.68674e+01,
3.00000e+02,1.37200e+01,
3.05000e+02,2.52362e+02,
3.10000e+02,9.74644e+01,
3.15000e+02,3.89425e+01,
3.20000e+02,8.05702e+01,
3.25000e+02,1.47223e+01,
3.30000e+02,2.43493e+01,
3.35000e+02,1.70595e+01,
3.40000e+02,8.70246e+00,
3.45000e+02,1.06810e+01,
3.50000e+02,-3.43056e+00,
3.55000e+02,-8.32243e+00,
0.00000e+00,-1.72921e+01,
5.00000e+00,-2.12020e+01,
1.00000e+01,-2.20685e+01,
1.50000e+01,-1.97210e+01,
2.00000e+01,-1.23524e+01,
2.50000e+01,-2.05755e+00,
3.00000e+01,1.11551e+01,
3.50000e+01,2.55743e+01,
4.00000e+01,3.93889e+01,
4.50000e+01,5.23267e+01,
5.00000e+01,6.57487e+01,
5.50000e+01,7.76179e+01,
6.00000e+01,9.86816e+01,
6.50000e+01,1.08844e+02,
7.00000e+01,1.30662e+02,
7.50000e+01,1.38215e+02,
8.00000e+01,1.46818e+02,
8.50000e+01,1.49849e+02,
9.00000e+01,1.47921e+02,
9.50000e+01,1.44418e+02,
1.00000e+02,1.36903e+02,
1.05000e+02,1.26291e+02,
