Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:47
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
3.45000e+02,-3.89657e+00,3.45000e+02,-4.39621e+00,
3.50000e+02,-3.24145e+00,3.50000e+02,-3.66173e+00,
3.55000e+02,-2.69119e+00,3.55000e+02,-3.18756e+00,
0.00000e+00,-1.78571e+00,0.00000e+00,-2.62630e+00,
5.00000e+00,-1.02564e+00,5.00000e+00,-1.78908e+00,
1.00000e+01,-3.27696e-01,1.00000e+01,-1.04159e+00,
1.50000e+01,5.07949e-01,1.50000e+01,-3.27716e-01,
2.00000e+01,1.32597e+00,2.00000e+01,5.33130e-01,
2.50000e+01,2.06681e+00,2.50000e+01,1.39013e+00,
3.00000e+01,2.78131e+00,3.00000e+01,2.13840e+00,
3.50000e+01,3.49283e+00,3.50000e+01,2.84159e+00,
4.00000e+01,4.22760e+00,4.00000e+01,3.51249e+00,
4.50000e+01,4.95745e+00,4.50000e+01,4.18452e+00,
5.00000e+01,5.66268e+00,5.00000e+01,4.86321e+00,
5.50000e+01,6.30691e+00,5.50000e+01,5.53423e+00,
6.00000e+01,6.91295e+00,6.00000e+01,6.14411e+00,
6.50000e+01,7.30646e+00,6.50000e+01,6.69250e+00,
7.00000e+01,7.80694e+00,7.00000e+01,7.13671e+00,
7.50000e+01,8.05817e+00,7.50000e+01,7.49941e+00,
8.00000e+01,8.43007e+00,8.00000e+01,7.74510e+00,
8.50000e+01,8.72086e+00,8.50000e+01,7.97440e+00,
9.00000e+01,9.01871e+00,9.00000e+01,8.23754e+00,
9.50000e+01,9.21160e+00,9.50000e+01,8.41918e+00,
1.00000e+02,9.41654e+00,1.00000e+02,8.46174e+00,
1.05000e+02,9.44482e+00,1.05000e+02,8.55724e+00,
1.10000e+02,9.44279e+00,1.10000e+02,8.41058e+00,
1.15000e+02,9.29948e+00,1.15000e+02,8.35526e+00,
1.20000e+02,9.00616e+00,1.20000e+02,8.00924e+00,
1.25000e+02,8.60191e+00,1.25000e+02,7.64281e+00,
1.30000e+02,8.17796e+00,1.30000e+02,7.13369e+00,
1.35000e+02,7.52735e+00,1.35000e+02,6.58546e+00,
1.40000e+02,6.83164e+00,1.40000e+02,5.82127e+00,
1.45000e+02,5.88677e+00,1.45000e+02,4.87992e+00,
1.50000e+02,4.91725e+00,1.50000e+02,3.87581e+00,
1.55000e+02,3.78693e+00,1.55000e+02,2.83750e+00,
1.60000e+02,2.68806e+00,1.60000e+02,1.80218e+00,
1.65000e+02,1.64855e+00,1.65000e+02,7.15313e-01,
1.70000e+02,5.40650e-01,1.70000e+02,-4.83348e-01,
1.75000e+02,-6.66227e-01,1.75000e+02,-1.70956e+00,
1.80000e+02,-1.96806e+00,1.80000e+02,-2.85735e+00,
1.85000e+02,-3.23077e+00,1.85000e+02,-4.04973e+00,
1.90000e+02,-4.17038e+00,1.90000e+02,-5.15917e+00,
1.95000e+02,-5.24443e+00,1.95000e+02,-6.01589e+00,
2.00000e+02,-6.36620e+00,2.00000e+02,-6.57937e+00,
2.05000e+02,-7.28702e+00,2.05000e+02,-6.67663e+00,
2.10000e+02,-7.94100e+00,2.10000e+02,-7.03157e+00,
2.15000e+02,-8.54148e+00,2.15000e+02,-7.68207e+00,
2.20000e+02,-1.07745e+01,2.20000e+02,-8.03764e+00,
2.25000e+02,-9.52716e+00,2.25000e+02,-1.02804e+01,
2.30000e+02,-9.54246e+00,2.30000e+02,-1.02525e+01,
2.35000e+02,-1.04704e+01,2.35000e+02,-1.01931e+01,
2.40000e+02,-1.01469e+01,2.40000e+02,-1.02600e+01,
2.45000e+02,-1.96987e+01,2.45000e+02,-1.04516e+01,
2.50000e+02,-1.63657e+01,2.50000e+02,-1.06986e+01,
2.55000e+02,-1.44001e+01,2.55000e+02,-1.09726e+01,
2.60000e+02,-1.36047e+01,2.60000e+02,-1.10192e+01,
2.65000e+02,-1.09217e+01,2.65000e+02,-1.09075e+01,
2.70000e+02,-1.19998e+01,2.70000e+02,-1.02307e+01,
2.75000e+02,-1.01441e+01,2.75000e+02,-1.03601e+01,
2.80000e+02,-9.87820e+00,2.80000e+02,-1.03758e+01,
2.85000e+02,-9.20269e+00,2.85000e+02,-9.88824e+00,
2.90000e+02,-7.71598e+00,2.90000e+02,-9.71090e+00,
2.95000e+02,-8.87761e+00,2.95000e+02,-9.37625e+00,
3.00000e+02,-8.65281e+00,3.00000e+02,-9.05355e+00,
3.05000e+02,-8.60709e+00,3.05000e+02,-8.66065e+00,
3.10000e+02,-7.48696e+00,3.10000e+02,-8.06980e+00,
3.15000e+02,-6.99223e+00,3.15000e+02,-7.62754e+00,
