Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:39:15
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
6.50000e+01,9.50273e+02,
7.00000e+01,1.04624e+03,
7.50000e+01,1.07838e+03,
8.00000e+01,1.10127e+03,
8.50000e+01,1.10126e+03,
9.00000e+01,1.06797e+03,
9.50000e+01,1.02359e+03,
1.00000e+02,9.62587e+02,
1.05000e+02,8.82754e+02,
1.10000e+02,7.91510e+02,
1.15000e+02,7.22898e+02,
1.20000e+02,6.56094e+02,
1.25000e+02,5.50905e+02,
1.30000e+02,4.92906e+02,
1.35000e+02,4.17133e+02,
1.40000e+02,3.91401e+02,
1.45000e+02,3.54282e+02,
1.50000e+02,3.26449e+02,
1.55000e+02,2.83889e+02,
1.60000e+02,2.05408e+02,
1.65000e+02,1.20969e+02,
1.70000e+02,3.08656e+01,
1.75000e+02,-5.86423e+01,
1.80000e+02,-1.77217e+02,
1.85000e+02,-2.95522e+02,
1.90000e+02,-3.65840e+02,
1.95000e+02,-4.47569e+02,
2.00000e+02,-4.88882e+02,
2.05000e+02,-5.75423e+02,
2.10000e+02,-8.11924e+02,
2.15000e+02,-8.24935e+02,
2.20000e+02,-1.03716e+03,
2.25000e+02,-9.49738e+02,
2.30000e+02,-9.80215e+02,
2.35000e+02,-8.82015e+02,
2.40000e+02,-8.79121e+02,
2.45000e+02,-8.66493e+02,
2.50000e+02,-8.67930e+02,
2.55000e+02,-8.64560e+02,
2.60000e+02,-8.51551e+02,
2.65000e+02,-8.59281e+02,
2.70000e+02,-1.03207e+03,
2.75000e+02,-1.00903e+03,
2.80000e+02,-1.21303e+03,
2.85000e+02,-7.35105e+02,
2.90000e+02,-5.54195e+02,
2.95000e+02,-6.80904e+02,
3.00000e+02,-7.74068e+02,
3.05000e+02,-8.86481e+02,
3.10000e+02,-8.26830e+02,
3.15000e+02,-7.96830e+02,
3.20000e+02,-6.69206e+02,
3.25000e+02,-7.14084e+02,
3.30000e+02,-7.30837e+02,
3.35000e+02,-7.11621e+02,
