Export File Created with QBlade v0.96 64bit on 03.07.2020 at 17:57:48
TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,TSR4.5 solidity=0.10 UA VL ICS1.1 WRF0.45 MW3,
Azimuthal Position Blade 1 [deg],Angle of Attack (at section) Blade 1 [deg],
3.00000e+02,-9.28117e+00,
3.05000e+02,-5.48707e+00,
3.10000e+02,-7.92955e+00,
3.15000e+02,-4.99024e+00,
3.20000e+02,-9.57493e+00,
3.25000e+02,-4.43853e+00,
3.30000e+02,-7.59289e+00,
3.35000e+02,-3.74488e+00,
3.40000e+02,-6.34426e+00,
3.45000e+02,-4.48397e+00,
3.50000e+02,-4.45299e+00,
3.55000e+02,-3.60047e+00,
0.00000e+00,-2.51835e+00,
5.00000e+00,-1.77477e+00,
1.00000e+01,-9.64853e-01,
1.50000e+01,-2.64424e-01,
2.00000e+01,5.83040e-01,
2.50000e+01,1.33082e+00,
3.00000e+01,2.02816e+00,
3.50000e+01,2.74249e+00,
4.00000e+01,3.54324e+00,
4.50000e+01,4.23499e+00,
5.00000e+01,5.10808e+00,
5.50000e+01,5.69045e+00,
6.00000e+01,6.23653e+00,
6.50000e+01,6.69459e+00,
7.00000e+01,6.46638e+00,
7.50000e+01,7.67152e+00,
8.00000e+01,6.07319e+00,
8.50000e+01,8.87555e+00,
9.00000e+01,6.62420e+00,
9.50000e+01,9.87214e+00,
1.00000e+02,6.43820e+00,
1.05000e+02,1.08453e+01,
1.10000e+02,6.08550e+00,
1.15000e+02,1.02293e+01,
1.20000e+02,5.71466e+00,
1.25000e+02,9.13357e+00,
1.30000e+02,5.06157e+00,
1.35000e+02,7.57382e+00,
1.40000e+02,4.25434e+00,
1.45000e+02,6.00750e+00,
1.50000e+02,5.02051e+00,
1.55000e+02,3.90789e+00,
1.60000e+02,2.93248e+00,
1.65000e+02,1.46570e+00,
1.70000e+02,6.53376e-01,
1.75000e+02,-7.73740e-01,
1.80000e+02,-1.79092e+00,
1.85000e+02,-3.03768e+00,
1.90000e+02,-4.12618e+00,
1.95000e+02,-5.60383e+00,
