Export File Created with QBlade v0.96 64bit on 09.07.2020 at 17:00:12
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
0.00000e+00,-1.80176e+01,0.00000e+00,-2.59810e+01,
5.00000e+00,-2.20136e+01,5.00000e+00,-3.24090e+01,
1.00000e+01,-2.20699e+01,1.00000e+01,-3.38907e+01,
1.50000e+01,-1.83752e+01,1.50000e+01,-3.09140e+01,
2.00000e+01,-1.00643e+01,2.00000e+01,-2.35351e+01,
2.50000e+01,1.59987e+00,2.50000e+01,-1.00263e+01,
3.00000e+01,1.61310e+01,3.00000e+01,6.97151e+00,
3.50000e+01,3.14063e+01,3.50000e+01,2.70893e+01,
4.00000e+01,4.54110e+01,4.00000e+01,4.75929e+01,
4.50000e+01,5.93547e+01,4.50000e+01,6.62291e+01,
5.00000e+01,7.29507e+01,5.00000e+01,8.37112e+01,
5.50000e+01,8.51990e+01,5.50000e+01,1.00420e+02,
6.00000e+01,9.61805e+01,6.00000e+01,1.15466e+02,
6.50000e+01,1.05582e+02,6.50000e+01,1.28264e+02,
7.00000e+01,1.13187e+02,7.00000e+01,1.38753e+02,
7.50000e+01,1.19089e+02,7.50000e+01,1.46815e+02,
8.00000e+01,1.23246e+02,8.00000e+01,1.52423e+02,
8.50000e+01,1.25556e+02,8.50000e+01,1.55553e+02,
9.00000e+01,1.25935e+02,9.00000e+01,1.56155e+02,
9.50000e+01,1.24365e+02,9.50000e+01,1.54273e+02,
1.00000e+02,1.20985e+02,1.00000e+02,1.49988e+02,
1.05000e+02,1.15936e+02,1.05000e+02,1.43412e+02,
1.10000e+02,1.09382e+02,1.10000e+02,1.34856e+02,
1.15000e+02,1.01490e+02,1.15000e+02,1.24530e+02,
1.20000e+02,9.23762e+01,1.20000e+02,1.12710e+02,
1.25000e+02,8.24070e+01,1.25000e+02,9.96772e+01,
1.30000e+02,7.17431e+01,1.30000e+02,8.56659e+01,
1.35000e+02,6.06388e+01,1.35000e+02,7.09770e+01,
1.40000e+02,4.92514e+01,1.40000e+02,5.59655e+01,
1.45000e+02,3.77856e+01,1.45000e+02,4.10469e+01,
1.50000e+02,2.65164e+01,1.50000e+02,2.60062e+01,
1.55000e+02,1.56428e+01,1.55000e+02,1.06078e+01,
1.60000e+02,4.70083e+00,1.60000e+02,-1.82560e+00,
1.65000e+02,-3.40158e+00,1.65000e+02,-1.03143e+01,
1.70000e+02,-8.19831e+00,1.70000e+02,-1.43455e+01,
1.75000e+02,-9.56131e+00,1.75000e+02,-1.37216e+01,
1.80000e+02,-6.72628e+00,1.80000e+02,-7.18259e+00,
1.85000e+02,3.61243e-03,1.85000e+02,3.97574e+00,
1.90000e+02,8.85692e+00,1.90000e+02,1.69296e+01,
1.95000e+02,2.08287e+01,1.95000e+02,2.82184e+01,
2.00000e+02,2.86117e+01,2.00000e+02,3.69299e+01,
2.05000e+02,3.33487e+01,2.05000e+02,3.35535e+01,
2.10000e+02,3.82815e+01,2.10000e+02,2.69902e+01,
2.15000e+02,3.37323e+01,2.15000e+02,3.95013e+01,
2.20000e+02,4.40826e+01,2.20000e+02,5.65921e+01,
2.25000e+02,6.29177e+01,2.25000e+02,6.08683e+01,
2.30000e+02,7.30944e+01,2.30000e+02,7.01881e+01,
2.35000e+02,8.05187e+01,2.35000e+02,9.96511e+01,
2.40000e+02,8.28267e+01,2.40000e+02,1.11125e+02,
2.45000e+02,6.36498e+01,2.45000e+02,1.20186e+02,
2.50000e+02,5.58263e+01,2.50000e+02,1.25928e+02,
2.55000e+02,4.84567e+01,2.55000e+02,1.31104e+02,
2.60000e+02,7.26415e+01,2.60000e+02,1.35148e+02,
2.65000e+02,8.25124e+01,2.65000e+02,1.36659e+02,
2.70000e+02,1.10863e+02,2.70000e+02,1.21935e+02,
2.75000e+02,1.10015e+02,2.75000e+02,1.28494e+02,
2.80000e+02,1.07058e+02,2.80000e+02,1.31198e+02,
2.85000e+02,1.01243e+02,2.85000e+02,1.25322e+02,
2.90000e+02,9.23507e+01,2.90000e+02,1.21353e+02,
2.95000e+02,8.06218e+01,2.95000e+02,1.16127e+02,
3.00000e+02,6.66328e+01,3.00000e+02,1.02995e+02,
3.05000e+02,6.30513e+01,3.05000e+02,8.58767e+01,
3.10000e+02,6.23928e+01,3.10000e+02,6.34896e+01,
3.15000e+02,5.90853e+01,3.15000e+02,5.25772e+01,
3.20000e+02,3.05762e+01,3.20000e+02,4.00319e+01,
3.25000e+02,3.15270e+01,3.25000e+02,1.40053e+01,
3.30000e+02,2.93771e+01,3.30000e+02,1.59147e+01,
3.35000e+02,2.24094e+01,3.35000e+02,1.71278e+01,
3.40000e+02,1.26332e+01,3.40000e+02,5.29291e+00,
3.45000e+02,1.13880e+01,3.45000e+02,3.94990e+00,
3.50000e+02,-2.94096e+00,3.50000e+02,-4.03242e+00,
3.55000e+02,-8.95585e+00,3.55000e+02,-1.41980e+01,
0.00000e+00,-1.71966e+01,0.00000e+00,-2.34986e+01,
5.00000e+00,-2.16863e+01,5.00000e+00,-3.09124e+01,
1.00000e+01,-2.21363e+01,1.00000e+01,-3.37228e+01,
1.50000e+01,-1.87643e+01,1.50000e+01,-3.17313e+01,
2.00000e+01,-1.02565e+01,2.00000e+01,-2.53487e+01,
2.50000e+01,1.15241e+00,2.50000e+01,-1.25326e+01,
3.00000e+01,1.56352e+01,3.00000e+01,5.01166e+00,
3.50000e+01,3.09083e+01,3.50000e+01,2.51596e+01,
4.00000e+01,4.49144e+01,4.00000e+01,4.59294e+01,
4.50000e+01,5.88492e+01,4.50000e+01,6.45254e+01,
5.00000e+01,7.24848e+01,5.00000e+01,8.21168e+01,
5.50000e+01,8.47666e+01,5.50000e+01,9.87443e+01,
6.00000e+01,9.57826e+01,6.00000e+01,1.13889e+02,
6.50000e+01,1.05234e+02,6.50000e+01,1.26782e+02,
7.00000e+01,1.12864e+02,7.00000e+01,1.37696e+02,
7.50000e+01,1.18854e+02,7.50000e+01,1.46012e+02,
8.00000e+01,1.23001e+02,8.00000e+01,1.51729e+02,
8.50000e+01,1.25301e+02,8.50000e+01,1.54933e+02,
9.00000e+01,1.25739e+02,9.00000e+01,1.55506e+02,
9.50000e+01,1.24209e+02,9.50000e+01,1.53618e+02,
1.00000e+02,1.20877e+02,1.00000e+02,1.49371e+02,
1.05000e+02,1.15853e+02,1.05000e+02,1.42862e+02,
1.10000e+02,1.09296e+02,1.10000e+02,1.34355e+02,
1.15000e+02,1.01355e+02,1.15000e+02,1.24065e+02,
1.20000e+02,9.21999e+01,1.20000e+02,1.12234e+02,
1.25000e+02,8.22695e+01,1.25000e+02,9.91754e+01,
1.30000e+02,7.15707e+01,1.30000e+02,8.50687e+01,
1.35000e+02,6.04458e+01,1.35000e+02,7.02504e+01,
1.40000e+02,4.89240e+01,1.40000e+02,5.52283e+01,
1.45000e+02,3.74393e+01,1.45000e+02,4.01063e+01,
1.50000e+02,2.63556e+01,1.50000e+02,2.49457e+01,
1.55000e+02,1.54199e+01,1.55000e+02,9.66613e+00,
1.60000e+02,4.43072e+00,1.60000e+02,-2.87972e+00,
1.65000e+02,-3.63793e+00,1.65000e+02,-1.10638e+01,
1.70000e+02,-8.31983e+00,1.70000e+02,-1.46952e+01,
1.75000e+02,-9.55780e+00,1.75000e+02,-1.31902e+01,
1.80000e+02,-6.45136e+00,1.80000e+02,-5.64024e+00,
1.85000e+02,4.02680e-01,1.85000e+02,5.89595e+00,
1.90000e+02,9.54640e+00,1.90000e+02,1.84346e+01,
1.95000e+02,2.15001e+01,1.95000e+02,2.80891e+01,
2.00000e+02,2.87753e+01,2.00000e+02,3.54525e+01,
2.05000e+02,3.33359e+01,2.05000e+02,2.88079e+01,
2.10000e+02,3.76360e+01,2.10000e+02,1.76254e+01,
2.15000e+02,3.27079e+01,2.15000e+02,2.45415e+01,
2.20000e+02,3.95011e+01,2.20000e+02,4.01383e+01,
2.25000e+02,5.82553e+01,2.25000e+02,4.36837e+01,
2.30000e+02,7.00381e+01,2.30000e+02,4.53924e+01,
2.35000e+02,7.66650e+01,2.35000e+02,6.82092e+01,
2.40000e+02,8.30942e+01,2.40000e+02,9.26586e+01,
2.45000e+02,8.76452e+01,2.45000e+02,1.04271e+02,
2.50000e+02,9.37111e+01,2.50000e+02,1.17389e+02,
2.55000e+02,9.36198e+01,2.55000e+02,1.26649e+02,
2.60000e+02,7.83611e+01,2.60000e+02,1.35552e+02,
2.65000e+02,3.10118e+01,2.65000e+02,1.36663e+02,
2.70000e+02,5.29631e+01,2.70000e+02,1.42539e+02,
2.75000e+02,5.08001e+01,2.75000e+02,8.65098e+01,
2.80000e+02,7.62495e+01,2.80000e+02,4.94712e+01,
2.85000e+02,8.17929e+01,2.85000e+02,7.71995e+01,
2.90000e+02,8.03172e+01,2.90000e+02,8.07302e+01,
2.95000e+02,7.29852e+01,2.95000e+02,8.80970e+01,
3.00000e+02,5.81605e+01,3.00000e+02,7.96027e+01,
3.05000e+02,4.68824e+01,3.05000e+02,6.14527e+01,
3.10000e+02,5.41151e+01,3.10000e+02,3.05126e+01,
3.15000e+02,5.27740e+01,3.15000e+02,4.43380e+01,
3.20000e+02,2.69437e+01,3.20000e+02,3.61839e+01,
