Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:19:05
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],Azimuthal Position Blade 1 [deg],Total Normal Load Blade 1 [N],
3.45000e+02,-6.89519e+02,3.45000e+02,-1.01581e+03,
3.50000e+02,-6.05867e+02,3.50000e+02,-9.62597e+02,
3.55000e+02,-5.17871e+02,3.55000e+02,-9.31296e+02,
0.00000e+00,-3.70245e+02,0.00000e+00,-8.32451e+02,
5.00000e+00,-2.24656e+02,5.00000e+00,-5.76945e+02,
1.00000e+01,-8.41809e+01,1.00000e+01,-3.29713e+02,
1.50000e+01,6.81679e+01,1.50000e+01,-1.23128e+02,
2.00000e+01,2.29688e+02,2.00000e+01,9.04621e+01,
2.50000e+01,3.80147e+02,2.50000e+01,3.28217e+02,
3.00000e+01,5.15729e+02,3.00000e+01,5.39308e+02,
3.50000e+01,6.31254e+02,3.50000e+01,7.26377e+02,
4.00000e+01,7.08867e+02,4.00000e+01,8.73540e+02,
4.50000e+01,7.56263e+02,4.50000e+01,9.71748e+02,
5.00000e+01,7.98290e+02,5.00000e+01,1.03085e+03,
5.50000e+01,8.29366e+02,5.50000e+01,1.08292e+03,
6.00000e+01,9.27986e+02,6.00000e+01,1.12038e+03,
6.50000e+01,9.53228e+02,6.50000e+01,1.19194e+03,
7.00000e+01,1.05398e+03,7.00000e+01,1.27715e+03,
7.50000e+01,1.07743e+03,7.50000e+01,1.39133e+03,
8.00000e+01,1.10910e+03,8.00000e+01,1.45540e+03,
8.50000e+01,1.09413e+03,8.50000e+01,1.42452e+03,
9.00000e+01,1.08322e+03,9.00000e+01,1.37600e+03,
9.50000e+01,1.01655e+03,9.50000e+01,1.35179e+03,
1.00000e+02,9.65105e+02,1.00000e+02,1.22710e+03,
1.05000e+02,8.76686e+02,1.05000e+02,1.18624e+03,
1.10000e+02,7.91849e+02,1.10000e+02,1.02360e+03,
1.15000e+02,7.22546e+02,1.15000e+02,9.68716e+02,
1.20000e+02,6.57886e+02,1.20000e+02,8.64072e+02,
1.25000e+02,5.57823e+02,1.25000e+02,7.76426e+02,
