Export File Created with QBlade v0.96 64bit on 09.07.2020 at 19:00:53
_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 6panel UAVL,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
7.50000e+01,1.23571e+02,7.50000e+01,1.37465e+02,7.50000e+01,1.55815e+02,7.50000e+01,2.05247e+02,7.50000e+01,2.08100e+02,
8.00000e+01,1.26990e+02,8.00000e+01,1.70957e+02,8.00000e+01,1.59925e+02,8.00000e+01,2.06215e+02,8.00000e+01,2.08039e+02,
8.50000e+01,1.28619e+02,8.50000e+01,1.29083e+02,8.50000e+01,1.61702e+02,8.50000e+01,2.11812e+02,8.50000e+01,2.09160e+02,
9.00000e+01,1.28410e+02,9.00000e+01,1.72731e+02,9.00000e+01,1.61197e+02,9.00000e+01,2.12406e+02,9.00000e+01,2.16394e+02,
9.50000e+01,1.26379e+02,9.50000e+01,1.30550e+02,9.50000e+01,1.58446e+02,9.50000e+01,2.10973e+02,9.50000e+01,1.92790e+02,
1.00000e+02,1.22649e+02,1.00000e+02,1.47056e+02,1.00000e+02,1.53473e+02,1.00000e+02,1.95706e+02,1.00000e+02,1.99894e+02,
1.05000e+02,1.17327e+02,1.05000e+02,1.21675e+02,1.05000e+02,1.46416e+02,1.05000e+02,1.87647e+02,1.05000e+02,1.64908e+02,
1.10000e+02,1.10568e+02,1.10000e+02,1.17379e+02,1.10000e+02,1.37493e+02,1.10000e+02,1.53634e+02,1.10000e+02,1.70256e+02,
1.15000e+02,1.02548e+02,1.15000e+02,1.02004e+02,1.15000e+02,1.26899e+02,1.15000e+02,1.49358e+02,1.15000e+02,1.28402e+02,
1.20000e+02,9.33198e+01,1.20000e+02,9.14768e+01,1.20000e+02,1.14875e+02,1.20000e+02,1.20896e+02,1.20000e+02,1.24225e+02,
1.25000e+02,8.32592e+01,1.25000e+02,7.34573e+01,1.25000e+02,1.01734e+02,1.25000e+02,1.05213e+02,1.25000e+02,1.04242e+02,
1.30000e+02,7.25308e+01,1.30000e+02,6.13374e+01,1.30000e+02,8.75444e+01,1.30000e+02,7.86960e+01,1.30000e+02,7.78656e+01,
1.35000e+02,6.13928e+01,1.35000e+02,4.83256e+01,1.35000e+02,7.28551e+01,1.35000e+02,6.52630e+01,1.35000e+02,6.45638e+01,
1.40000e+02,4.99026e+01,1.40000e+02,3.96211e+01,1.40000e+02,5.77218e+01,1.40000e+02,5.12850e+01,1.40000e+02,5.08127e+01,
1.45000e+02,3.84617e+01,1.45000e+02,2.97172e+01,1.45000e+02,4.27775e+01,1.45000e+02,3.94760e+01,1.45000e+02,3.94216e+01,
1.50000e+02,2.72711e+01,1.50000e+02,2.25803e+01,1.50000e+02,2.79395e+01,1.50000e+02,2.69282e+01,1.50000e+02,2.70165e+01,
1.55000e+02,1.63951e+01,1.55000e+02,1.41391e+01,1.55000e+02,1.29869e+01,1.55000e+02,1.31598e+01,1.55000e+02,1.32113e+01,
1.60000e+02,5.35569e+00,1.60000e+02,4.89014e+00,1.60000e+02,-7.72955e-02,1.60000e+02,6.60820e-01,1.60000e+02,6.40741e-01,
1.65000e+02,-2.94722e+00,1.65000e+02,-2.17980e+00,1.65000e+02,-9.07667e+00,1.65000e+02,-8.54969e+00,1.65000e+02,-8.53241e+00,
1.70000e+02,-7.93508e+00,1.70000e+02,-7.23176e+00,1.70000e+02,-1.36869e+01,1.70000e+02,-1.37710e+01,1.70000e+02,-1.36646e+01,
1.75000e+02,-9.51690e+00,1.75000e+02,-9.49358e+00,1.75000e+02,-1.41567e+01,1.75000e+02,-1.49287e+01,1.75000e+02,-1.48310e+01,
1.80000e+02,-7.02813e+00,1.80000e+02,-8.84950e+00,1.80000e+02,-8.78041e+00,1.80000e+02,-1.04693e+01,1.80000e+02,-1.03775e+01,
1.85000e+02,-1.34332e-01,1.85000e+02,-3.83625e+00,1.85000e+02,2.15868e+00,1.85000e+02,-1.16915e+00,1.85000e+02,-9.27824e-01,
1.90000e+02,8.31469e+00,1.90000e+02,3.60303e+00,1.90000e+02,1.66936e+01,1.90000e+02,1.16739e+01,1.90000e+02,1.22617e+01,
1.95000e+02,2.11470e+01,1.95000e+02,1.34638e+01,1.95000e+02,2.94471e+01,1.95000e+02,2.49850e+01,1.95000e+02,2.57661e+01,
2.00000e+02,3.01031e+01,2.00000e+02,2.36748e+01,2.00000e+02,3.74217e+01,2.00000e+02,3.89645e+01,2.00000e+02,4.17638e+01,
2.05000e+02,3.50111e+01,2.05000e+02,3.45283e+01,2.05000e+02,4.34689e+01,2.05000e+02,5.85614e+01,2.05000e+02,6.02643e+01,
