Export File Created with QBlade v0.96 64bit on 09.07.2020 at 18:18:56
_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.10 ua,_TSR4.5 solidity=0.14 ua 4-2,_TSR4.5 solidity=0.14 ua 4-2,
Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],Azimuthal Position Blade 1 [deg],Total Tangential Load Blade 1 [m],
0.00000e+00,-1.87326e+01,0.00000e+00,-1.82154e+01,
5.00000e+00,-2.19282e+01,5.00000e+00,-2.96572e+01,
1.00000e+01,-2.19903e+01,1.00000e+01,-3.33129e+01,
1.50000e+01,-1.85088e+01,1.50000e+01,-3.16042e+01,
2.00000e+01,-1.08697e+01,2.00000e+01,-2.46322e+01,
2.50000e+01,-3.15012e-01,2.50000e+01,-1.07734e+01,
3.00000e+01,1.27120e+01,3.00000e+01,6.66161e+00,
3.50000e+01,2.69853e+01,3.50000e+01,2.70231e+01,
4.00000e+01,4.04604e+01,4.00000e+01,4.74074e+01,
4.50000e+01,5.34057e+01,4.50000e+01,6.60124e+01,
5.00000e+01,6.66160e+01,5.00000e+01,8.32365e+01,
5.50000e+01,7.83090e+01,5.50000e+01,1.00815e+02,
6.00000e+01,1.00092e+02,6.00000e+01,1.16260e+02,
6.50000e+01,1.09434e+02,6.50000e+01,1.36553e+02,
7.00000e+01,1.32048e+02,7.00000e+01,1.58419e+02,
7.50000e+01,1.38362e+02,7.50000e+01,1.83545e+02,
8.00000e+01,1.48333e+02,8.00000e+01,1.98695e+02,
8.50000e+01,1.48875e+02,8.50000e+01,1.98986e+02,
9.00000e+01,1.51268e+02,9.00000e+01,1.97587e+02,
9.50000e+01,1.42650e+02,9.50000e+01,1.97362e+02,
1.00000e+02,1.38601e+02,1.00000e+02,1.77657e+02,
1.05000e+02,1.25775e+02,1.05000e+02,1.73601e+02,
1.10000e+02,1.14222e+02,1.10000e+02,1.45447e+02,
1.15000e+02,1.03051e+02,1.15000e+02,1.37746e+02,
1.20000e+02,9.07697e+01,1.20000e+02,1.17158e+02,
1.25000e+02,7.28746e+01,1.25000e+02,1.00262e+02,
1.30000e+02,6.14951e+01,1.30000e+02,7.68235e+01,
1.35000e+02,4.76318e+01,1.35000e+02,6.21366e+01,
1.40000e+02,3.96688e+01,1.40000e+02,5.06448e+01,
1.45000e+02,2.95896e+01,1.45000e+02,3.80594e+01,
1.50000e+02,2.22636e+01,1.50000e+02,2.54347e+01,
1.55000e+02,1.36795e+01,1.55000e+02,1.12635e+01,
1.60000e+02,4.39817e+00,1.60000e+02,-1.17468e+00,
1.65000e+02,-2.71679e+00,1.65000e+02,-9.97956e+00,
1.70000e+02,-7.62766e+00,1.70000e+02,-1.45555e+01,
1.75000e+02,-9.70170e+00,1.75000e+02,-1.45690e+01,
1.80000e+02,-8.35733e+00,1.80000e+02,-8.67727e+00,
1.85000e+02,-2.34417e+00,1.85000e+02,2.31081e+00,
1.90000e+02,4.46402e+00,1.90000e+02,1.48774e+01,
